"id","name","type","parent_id","organization_id"
1,"Biotecnologia y Valoracion de la agrobiodiversidad","Programa",,1
2,"Valorizando nuestra biodiversidad mediante biotecnologia - valbiodiversidad","Grupo",,1
3,"Cultivo in vitro de la agrobiodiversidad sensu latu","Linea",2,
4,"Estudios de la diversidad genetica y molecular de la agrobiodiversidad y desarrollo de marcadores moleculares para seleccion asistida","Linea",2,
5,"Prospeccion de moleculas y valor agregado en la agrobiodiversidad","Linea",2,
6,"Agroculturalidad y Biopatrimonio","Programa",,1
7,"Biodiversidad y cambio climatico para la seguridad alimentaria","Grupo",,1
8,"Agricultura familiar y agricultura andino amazonica, agrobiodiversidad, evolucion y adaptacion al cambio climatico para la producion de servicios gastronomicos y ecoturismo","Linea",7,
9,"Educacion intercultural para el cambio climatico","Linea",7,
10,"Suelos y Fertilizantes","Programa",,1
11,"Recuperacion y manejo de suelos degradados y contaminados","Grupo",,1
12,"Fertilidad, clasificacion, recuperacion y manejo de suelos","Linea",11,
13,"Servicios ecosistemicos, descontaminacion del suelo y medio ambiente","Linea",11,
14,"Agricultura Moderna y Tradicional","Programa",,1
15,"Geomatica y agricultura sostenible en la Amazonia","Grupo",,1
16,"Geomatica y agricultura de precision","Linea",15,
17,"Agroecologia","Linea",15,
18,"Especies agricolas, sistemas de produccion y proteccion vegetal","Programa",,1
19,"Plantas medicinales, ornamentales y floristicos","Grupo",,1
20,"Caracterizacion morfo-fitoquimica de los recursos fitogeneticos, propagacion, produccion, tecnicas de cultivos y conservacion ex situ","Linea",19,
21,"Diagnostico y control de plagas","Linea",19,
22," Gestion de la produccion vegetal, valor agregado de la cosecha, agronegocios, riego y construcciones agropecuarias.","Linea",19,
23,"Cultivos tropicales / fitosanidad","Programa",,1
24,"Epidemiologia, resistencia y manejo integrado de enfermedades en cultivos tropicales","Grupo",,1
25,"Manejo integrado de pestes","Linea",24,
26,"Diagnostico fitosanitario y bioinsumos - GIDIFIBI","Grupo",,1
27,"Desarrollar tecnicas de diagnostico y evaluacion de fitopatogenos, insectos plaga y aryenses en especies agricolas y forestales","Linea",26,
28,"Adaptar el uso de tecnologias de la geomatica en el diagnostico fitosanitario","Linea",26,
29,"Obtener bioinsumos a partir de microorganismos y principios activos de plantas para el control de pestes agricolas","Linea",26,
30,"Identificacion y produccion de predadores y parasitoides de importancia agricola.","Linea",26,
31,"Caracterizar microorganismos para la formulacion de biofertilizantes.","Linea",26,
32,"Desarrollar ensayos de eficacia de pesticidas en el control de fitopatogenos e insectos plaga.","Linea",26,
33,"Produccion animal sostenible","Programa",,5
34,"Ganaderia sostenible y Medio ambiente","Grupo",,5
35,"Ecologia de pasturas y forrajes en sistemas silvopastoriles","Linea",34,
36,"Aprovechamiento de residuos de la produccion animal","Linea",34,
37,"Nutricion y sanidad animal","Grupo",,5
38,"Nutricion, alimentacion y sanidad de animales domesticos, silvestres y acuaticos en ecosistemas sostenibles.","Linea",37,
