"role_name","outcome_id","author_id"
"Miembro extraordinario",3822,59
"Miembro extraordinario",3814,59
"Miembro extraordinario",3806,59
"Miembro extraordinario",3799,59
"Miembro extraordinario",3785,59
"Miembro extraordinario",3784,59
"Miembro extraordinario",3766,59
"Miembro extraordinario",3748,59
"Miembro extraordinario",3747,59
"Miembro extraordinario",3738,59
"Miembro extraordinario",3729,59
"Miembro extraordinario",3698,59
"Miembro extraordinario",3697,59
"Miembro extraordinario",3691,59
"Miembro extraordinario",3712,59
"Miembro extraordinario",3470,59
"Miembro extraordinario",3448,59
"Miembro extraordinario",3394,59
"Miembro extraordinario",3391,59
"Miembro extraordinario",3407,59
"Miembro extraordinario",3406,59
"Miembro extraordinario",3381,59
"Miembro extraordinario",3375,59
"Miembro extraordinario",3371,59
"Miembro extraordinario",3368,59
"Miembro extraordinario",3360,59
"Miembro extraordinario",3353,59
"Miembro extraordinario",3352,59
"Miembro ordinario",3766,19
"Miembro ordinario",3784,19
"Miembro ordinario",3785,19
"Miembro ordinario",3799,19
"Miembro ordinario",3806,19
"Miembro ordinario",3814,19
"Miembro ordinario",3822,19
"Miembro ordinario",3831,19
"Miembro ordinario",3842,19
"Miembro ordinario",3846,19
"Miembro ordinario",3748,19
"Miembro ordinario",3747,19
"Miembro ordinario",3738,19
"Miembro ordinario",3729,19
"Miembro ordinario",3698,19
"Miembro ordinario",3697,19
"Miembro ordinario",3691,19
"Miembro ordinario",3712,19
"Miembro ordinario",3470,19
"Miembro ordinario",3448,19
"Miembro ordinario",3394,19
"Miembro ordinario",3391,19
"Miembro ordinario",3407,19
"Miembro ordinario",3406,19
"Miembro ordinario",3381,19
"Miembro ordinario",3375,19
"Miembro ordinario",3371,19
"Miembro ordinario",3368,19
"Miembro ordinario",3360,19
"Miembro ordinario",3353,19
"Miembro ordinario",3352,19
"Miembro extraordinario",3846,20
"Miembro extraordinario",3842,20
"Miembro extraordinario",3831,20
"Miembro extraordinario",3822,20
"Miembro extraordinario",3814,20
"Miembro extraordinario",3806,20
"Miembro extraordinario",3799,20
"Miembro extraordinario",3785,20
"Miembro extraordinario",3784,20
"Miembro extraordinario",3766,20
"Miembro extraordinario",3748,20
"Miembro extraordinario",3747,20
"Miembro extraordinario",3738,20
"Miembro extraordinario",3729,20
"Miembro extraordinario",3698,20
"Miembro extraordinario",3697,20
"Miembro extraordinario",3691,20
"Miembro extraordinario",3712,20
"Miembro extraordinario",3470,20
"Miembro extraordinario",3448,20
"Miembro extraordinario",3394,20
"Miembro extraordinario",3391,20
"Miembro extraordinario",3407,20
"Miembro extraordinario",3406,20
"Miembro extraordinario",3381,20
"Miembro extraordinario",3375,20
"Miembro extraordinario",3371,20
"Miembro extraordinario",3368,20
"Miembro extraordinario",3360,20
"Miembro extraordinario",3353,20
"Miembro extraordinario",3352,20
"Miembro extraordinario",3846,59
"Miembro extraordinario",3842,59
"Miembro extraordinario",3831,59
"Miembro ordinario",3970,76
"Miembro ordinario",3974,76
"Miembro ordinario",3978,76
"Miembro ordinario",3980,76
"Miembro ordinario",3981,76
"Miembro ordinario",3992,76
"Miembro ordinario",3994,76
"Miembro ordinario",3999,76
"Miembro ordinario",4000,76
"Miembro ordinario",4010,76
"Miembro ordinario",4016,76
"Miembro ordinario",4039,76
"Miembro ordinario",4040,76
"Miembro ordinario",4019,76
"Miembro ordinario",4022,76
"Miembro ordinario",4026,76
