"id","code","title","date_init","date_end","budget","grade","type_research","document","plan","location","objective","state_research","program_name","line_name"
1,"CANON.AGR/2013.4/001","Fuente nitrica y amoniacal de nitrogeno en la produccion de Hortalizas en un Huerto Horticola con fertirrigacion","2014-01-01","2015-03-31",49903.7,1,2,"Resolucion N° 123-2014-R-UNAS",1,NULL,"Determinar la mejor relacion NH4+/NO3- que aporta Nitrogeno en el crecimiento y desarrollo de las hortalizas: tomate, zapallito italiano, pepinillo, col china, y aji.|Determinar la mejor relacion NH4+/NO3- en el rendimiento productivo de hortalizas con fertirrigacion.|Diseñar un modulo de huerto horticola sostenible replicable en terrenos de agricultores.|Determinar la relacion beneficio/costo de un modulo de huerto horticola con fertirriego.",4,"Aprovechamiento de la Biodiversidad","Mejoramiento Genetico de Frutales Tropicales"
2,"CANON.AMB/2013.4/001","Modelo de Sucesion Ecologica en los Bosques Fragmentados de la Cordillera Carpish, Huanuco - Peru","2014-03-11","2016-04-11",50000,1,2,"Resolucion N° 127-2014-R-UNAS",1,"","Determinar el comportamiento de la roca fosforica en el rendimiento del algodon aspero en suelo acido.|Realizar un inventario, en forma preliminar, de las especies vegetales que son utilizadas en la medicina folklorica o popular en Tingo Maria.|Recomendar medidas para el control del medio ambiente.|Determinar la dosis letal media de tres herbicidas: Butanex, Goal y Gramoxone aplicadas en Poecilia (Lebistes) reticulada ""Guppy"" en condiciones de laboratorio.|Creacion de un software de base de datos para la diversidad floristica coleccionada en el ferbario HTIN y otras colecciones biosistmaticas e inventarios de especies de areas protegidas.|Inventario del catalogo de las especies registradas en el herbario HTIN.|Diseño de un humedal artificial para reciclar aguas servidas domesticas.|Identificar los contaminantes del rio Huallaga.|Identificar el origen de la contaminacion.|Determinar sus niveles de contaminacion.|Evaluar el suelo y la contaminacion por plaguicidas.|Determinar la capacidad de uso mayor de las tierras que abarca el BRUNAS, con el fin de precisar las areas de proteccion y mantenerlas en las mismas condiciones maturales en que se encuentran para mantener la vida silvestre y foresta de proteccion.|Determinar la potencialidad y uso de los recursos existentes en la microcuenca.|Determinar las variaciones diurnas de la temperatura del suelo a dos profundidades (5 y 20 cm) en parcelas de suelo desnudo, con cesped y horasja (mantillo), en el periodo de un año.|Determinar el nivel apropiado de roca fosforica para un rendimiento optimo del algodon aspero.|Medir la actividad de la nitrogenasa en las siguientes leguminosas: mani forrajero (Arachis pintoi), kudzu (Puecaria phaseoloides), leucanea (Leucaena sp), guaba (Inga sp).|Determinar cual de estas leguminosas tiene mayor eficiencia en la fijacion de nitrogeno.|Identificacion, descripcion y evaluacion del tipo de clima existente.|Contribuir a la obtencion de un valor estimado de la radiacion solar incidente sobre la ciudad de Tingo Maria, en un periodo de 16 meses.|Determinar el Calor Especifico de los suelos del fundo Tulumayo.|Describir las los componentes fisicos, quimicos y biologicos de la laguna  ""Los Milagros"" los mismos que serviran para la planificacion del ecoturismo hacia esa zona.|Determinar la capacidad de carga turistica de la Cueva de las Lechuzas del Parque Naciona Tingo Maria.|Determinar las cantidades de microorganismos del suelo a 30 y 60 cm de profundidad en los diferentes tipos de suelos.|Cuantificar la variacion de los microorganismos del suelo en las diferentes estaciones del año.|Estudiar la fertilizacion nitrogenada, fosforica y potasica como fuente de nitrogeno, fosforo y potasio, nutrientes que coadyuvan al crecimiento rapido del cedro para salvar la competencia con otras especies.|Conocer el valor del pH de la lluvia que precipita en la localidad de Rupa Rupa (Tingo Maria, Huanuco) entre abril y septiembre de 2004.|Comparar las ventajas de la plasticultura en el cultivo de tomate frente a campo abierto.|Determinar y comparar la diversidad de la mesofauna y macrofauna suelo de un ex cocal y bosque secundario.|Determinar la textura, materia organica, densidad aparente y porcentaje de poros de los 06 tipos de suelos del BRUNAS.|Estudio justificatorio para el establecimiento del area de conservacion municipal humedal ""Laguna de los Milagros"".|Evaluar la diversidad floristica del Jardin Botanico de la Universidad Nacional Agraria de la Selva.|Elaborar el catalogo de especies plantas fanerogamas del jardin botanico.|Determinar la distribucion, composicion y abundancia de especies de plantas herbaceas en relacion al gradiente hidrico de la zona palustre del humedal ""Laguna de los Milagros"".|Describir y colectar muestras botanicas de especies de bambu introducido y nativo en el campus de la Universidad Nacional Agraria de la Selva e identificar y determinar a nivel generico y especifico las muestras colectadas.|No definido.|Determinar las caracterisitcas fisicas de la Microcuenca Cueva de las Pavas a partir de la elaboracion del modelo digital de elevacion mediante el uso de sistemas de informacion geografica.|Elaborar el modelo digital de elevacion de la Microcuenca Cueva de las Pavas utilizando el interpolador TIN.|Construir el modelo cartografico para delimitar la cuenca en forma automatizada utilizando las herramientas Hidrology Tool y Model Builder del programa ArcGis version 9.3 y elaborar el mapa de altitudes de la Microcuenca.|Determinar la forma, curva hipsometrica, altitud media, perfil longitudinal y la pendiente media de la Microcuenca Cueva de las Pavas|Contribuir con la difusion del uso de los modelos digitales de elevacion en el analisis hidrologico, ordenamiento territorial y manejo de bosques tropicales.|Determinar la composicion y abundancia de las especies en las distintas etapas serales de la dinamica sucesional de la vegetacion herbacea en parcelas sometidas a perturbaciones de quema, en las unidades fisiograficas de colinas bajas y plano ondulado del area deforestada del bosque reservado de la Universidad Nacional Agraria de la Selva (BRUNAS).|Estudiar los diversos factores que afectan la actividad fotosintetica de la planta acuatica Egeria densa o Elodea sp|Determinar los tipos de minerales de los suelos provenientes de Naranjillo (Tingo Maria), Rio frio (Aucayacu), Libertad (Tocache), Boqueron (Aguaytia) y campo verde (Pucallpa).|Ser un material de apoyo que permitira al usuario guiarse paso a paso durante todo el proceso de aprendizaje.|Brindar a los estudiantes de la Facultad de Recursos Naturales Renovables, una ayuda didactica concerniente al uso adecuado de fotografias aereas, imagenes de radar, asi como el almacenamiento, procesamiento digital e interpretacion de las imagenes para el uso cartografico y posterior elaboracion de mapas tematicos.|Determinar el valor del desarrollo sostenible multidimensional de la Region Huanuco 2005 - 2011|Determinar el valor de la dimension ambiental de los años 2005-2011|Determinar el valor de la dimension social de los años 2005-2011|Determinar el valor de la dimension economica de los años 2005-2011|Determinar el valor de la dimension politica - institucional de los años 2005-2011|Elaborar un indicador compuesto del desarrollo sostenible de la Region Huanuco de los años 2005-2011|Evaluar el comportamiento de los descriptores de caracterizacion del aguaje ""Maurita flexuosa L.F."" durante los primeros cinco años de edad en una plantacion en fajas de enriquecimiento en el Centro de Investigacion y Produccion Tulumayo Anexo La Divisoria (CIPTALD).|Establecer una plantacion de aguaje ""Maurita flexuosa L.F."" en fajas de enriquecimiento bajo dosel de bosque secundario.|Determinar el grado de relacion entre los descriptores de caracterizacion durante los primeros cinco años de establecimiento de la plantacion de aguaje.|Validar estadisticamente la relacion entre los descriptores de caracterizacion durante los primeros cicno años de establecimiento de una plantacion de aguaje.|Analizar la dinamica socioeconomica y la estructura productiva de la microcuenca Cueva de las Pavas, mediante el enfoque de sistemas de produccion agraria sostenibles.|Caracterizar los sistemas de produccion integral existentes.|Proponer modelos que permitan recuperar el equilibrio ecologico y la optimizacion de los recursos.|Determinar un modelo de sucesion ecologica en los bosques fragmentados de la cordillera Carpish, Huanuco.|Determinar el efecto del proceso sucesional en la diversidad de especies de plantas, invertebrados del suelo, lepidopteros, aves y mamiferos pequeños.|Determinar la cantidad de biomasa de la necromasa y su contenido de carbono, nitrogeno y fosforo durante el proceso sucesional.|Determinar los cambios microclimaticos en las diferentes etapas sucesionales.",4,"Diversidad Biologica","Desarrollo de bases tecnicas y de metodologias para la conservacion participativa y productiva de especies y ecosistemas con comunidades locales"
3,"CANON.ZTC/2013.4/001","Efecto de la densidad de levante de alevinos de Arapaima gigas ""paiche"" sobre la saturacion del agua, parametros productivos, perfil hematologico, bioquimico, respuesta histomorfologica de branquias y celular sanguinea de defensa.","2014-06-01","2015-04-30",49936,1,2,"Resolucion N° 124-2014-R-UNAS",1,NULL,"Determinar la Temperatura, pH, concentracion de o2, co2, nitritos, amoniaco en agua de estanques de alevinos de paiche.|Determinar los parametros de produccion: consumo de alimentos, peso corporal, longitud corporal y porcentaje de sobrevivencia, en alevinos de paiche.|Evaluar los perfiles hematologicos: hematocrito, hemoglobina y recuento de eritrocitos, en alevinos de paiche (Arapaima gigas).|Evaluar los perfiles bioquimicos sanguineos: proteina total, lipidos totales, glucosa, albumina, enzimas (ALT, AST), en alevinos de paiche.|Determinar la poblacion de celulas de defensa sanguineas en alevinos de paiche a diferentes densidades de levante.",4,"No Definido","No Definido"
4,"CANON.ZTC/2013.4/002","Evaluacion del cultivo de canavalia (Canavalia ensiformis) como cobertura en sistemas agroforestales con base cacao y su inclusion del grano en la racion para pollos de carne, en la Provincia de Leoncio Prado, departamento de Huanuco.","2014-05-20","2015-05-31",49926,1,2,"Resolucion N° 122-2014-R-UNAS",1,"","Evaluar la importancia de la canavalia (Canavalia ensiformis) dentro de los sistemas agroforestales en asociacion con cultivo de cacao, en aspectos productivos, cobertura, mejorardor de suelño y la utilizacion del grano como insumo en la alimentacion animal bajo condiciones tropicales.|Determinar la produccion de grano de la canavalia (Canavalia ensiformis) sembrada a alta densidad en asociacion con cacao en la fase de crecimiento.|Determinar el aporte economico de la implementacion de canavalia dentro de los sistemas agroforestales asociados con cacao.|Determinar el area de cobertura y su efecto en la presencia de malezas bajo un sistema de alta densidad con asociacion de cultivo de cacao.|Evaluar la ganancia de peso, consumo de alimento, conversion alimenticia, beneficio neto y merito economico de pollos de carne en fase de crecimiento y acabado, alimentados con raciones incluidas con diferentes niveles de harina de grano de canavalia .|Determinar los coeficientes metabolizables de la proteina, extracto etereo, ceniza, materia seca, fibra, extracto libre de nitrogeno y la energia metabolizable de la harina de granos de canavalia alimentados en pollos.",4,"Produccion Animal Sostenible","Alimentacion Animal"
5,"CANON.AMB/2013.4/002","Depuracion de aguas residuales domesticas mediadas por microorganismos modificados geneticamente por agentes mutagenicos a nivel de laboratorio.","2014-01-01","2014-12-31",49085,1,2,"Resolucion N° 125-2014-R-UNAS",1,"","Determinar la cepa modificada con mayor eficiencia en la depuracion de agua residual.|Depurar aguas residuales domesticas con microorganismos modificados geneticamente por agentes mutagenicos a nivel de laboratorio.|Determinar la eficiencia de depuracion de las aguas residuales domesticas mediadas por microorganismos modificados geneticamente.|Determinar el agente mutagenico que permite incrementar la depuracion de aguas residuales domesticas.",4,"Biotecnologia","Bioproduccion: aditivos, combustibles, fertilizantes y otros"
6,"CANON.AGR/2013.4/002","Variabilidad espacial de las propiedades quimicas del suelo y su relacion con el rendimiento del cafe y cacao en Tingo Maria.","2014-01-01","2014-12-31",49976.9,1,2,"Resolucion N° 126-2014-R-UNAS",1,NULL,"Proponer planes de manejo y fertilizacion de suelos diferenciados de acuerdo a la variabilidad espacial de la fertilidad del suelo para los cultivos de cacao y cafe.|Determinar la influencia de la variabilidad espacial de las propiedades quimicas de los suelos en el rendimiento de los cultivos de cacao (Theobroma cacao L) y Cafe (Coffea arabica).|Determinar la variabilidad espacial en las propiedades quimicas del suelo.|Elaboracion de mapas tematicos que demuestren la variabilidad espacial de las propiedades del suelo.|Determinar los componentes principales que expliquen la relacion de las propiedades  quimicas del suelo con el rendimiento en el cultivo de cacao y cafe.",4,"No Definido","No Definido"
7,"D.ADM/2003.1/001","CACAO: La cedena de valor del principal cultivo alternativo de la provincia de Leoncio Prado.","2003-02-01","2003-12-14",5822.36,1,2,"Acuerdo Nº 001-2003-CIP/DACA-FACEA",1,NULL,"Determinar los factores de la cadena de valor para la produccion de cacao en la provincia de Leoncio Prado.|Formular un esquema funcional del modelo de cadena de valor, en funcion de costos, diferenciacion y produccion con calidad.|Tener un conocimiento real de los costos de produccion de cacao, frente al modelo de la cadena de valor.|Formular un analisis de las actividades que se eslabonan en la cadena de valor del producto cacao.|Crear ventaja competitiva con recomendaciones de nuevos medios de susperar a sus competidores.|Perfilar estrategias diferenciales segun los sectores que sean identificados como factores competitivos.|Determinar areas geograficas de cultivo de cacao en la provincia de Leoncio Prado; asi como los principales productores e importadores.",4,"No Definido","No Definido"
8,"D.ADM/2008.1/001","Analisis de los factores de influyenen el bajo nivel de competencias en los Cuadros Directivos en la UNAS","2008-03-19","2009-09-20",124441,1,2,"Acuerdo N° 002-CIP-DACA-UNASTM",1,NULL,"Establecer criterios de evaluacion de las competencias laborales para la asignacion de cargos directivos en la UNAS|Mejorar los sistemas de evaluacion de las competencias|Mejorar el desempeño de la gestion Directiva institucional|Reducir el indice de errores y sanciones administrativas en la institucion",4,"No Definido","No Definido"
9,"D.ADM/2011.1/001","Texto: Gestion Estrategica de la Microempresa y Pequeña Empresa","2011-04-01","2012-03-20",10000,1,2,"Resolucion Nº 025-2011-CU-R-UNAS. Acuerdo Nº 261-2010-CFCEA",1,"","Diseñar y desarrollar modelos de gestion estrategica empresarial apluicado a las Micro y Pequeñas empresas  a fin de que sean mas eficientes, eficaces y competitivas, puesto que actualmente las empresas de diferentes tamaños se enfrentan mas que nunca al reto de asimilarse a fuertes y rapidos cambios no solo en su microentorno; sino tambien en su macroentorno|Desarrollar y explicar conceptos basicos de la conduccion estrategica de las micro y pequeñas empresas|Diseñar e ilustrar el proceso de gestion estrategica adecuado para las Micro y Pequeñas empresas|Diseñar, describir  y demostrar moselod de gestion empresarial aplicado a las micro y pequeñas empresas|Describir y explicar las diferentes estrategias aplicadas a las micro y pequeñas empresas|Diseñar y proponer  diferentes formas de estructura microempresarial de acuerdo a la Ley General de Sociedades . Ley Nº 26887 y otras normas referidas a las actividades comerciales",4,"Gestion de las micro y pequeñas empresa","Estandarizacion de instrumentos para la medicion de riesgos ocupacionales"
10,"D.ADM/2012.1/001","Estructura de las Exportaciones Peruanas y su contenido tecnologico","2012-03-08","2013-03-22",0,1,2,"Resolucion N° 017/2012-D-FCEA",1,NULL,"Analizar la composicion o estructura de las exportaciones peruanas comparadas con otros paises|Determinar el nivel de inversion en investigacion y desarrollo del Peru comparada con la de otros paises|Determinar si la inversion en investigacion y desarrollo influye en la estructura de las exportaciones peruana en cuanto a intensidad tecnologica|Analizar los principales indidcadores economicos sobre el crecimiento del Peru|Conocer la evolucion de los indices de competitividad entre paises",4,"No Definido","No Definido"
