"id","name","type","parent_id","organization_id"
1,"Valorizando nuestra biodiversidad mediante biotecnologia - valbiodiversidad","Grupo",,1
2,"Cultivo in vitro de la agrobiodiversidad sensu latu","Linea",1,
3,"Estudios de la diversidad genetica y molecular de la agrobiodiversidad y desarrollo de marcadores moleculares para seleccion asistida","Linea",1,
4,"Prospeccion de moleculas y valor agregado en la agrobiodiversidad","Linea",1,
5,"Biodiversidad y cambio climatico para la seguridad alimentaria","Grupo",,1
6,"Agricultura familiar y agricultura andino amazonica, agrobiodiversidad, evolucion y adaptacion al cambio climatico para la producion de servicios gastronomicos y ecoturismo","Linea",5,
7,"Educacion intercultural para el cambio climatico","Linea",5,
8,"Recuperacion y manejo de suelos degradados y contaminados","Grupo",,1
9,"Fertilidad, clasificacion, recuperacion y manejo de suelos","Linea",8,
10,"Servicios ecosistemicos, descontaminacion del suelo y medio ambiente","Linea",8,
11,"Geomatica y agricultura sostenible en la Amazonia","Grupo",,1
12,"Geomatica y agricultura de precision","Linea",11,
13,"Agroecologia","Linea",11,
14,"Plantas medicinales, ornamentales y floristicos","Grupo",,1
15,"Caracterizacion morfo-fitoquimica de los recursos fitogeneticos, propagacion, produccion, tecnicas de cultivos y conservacion ex situ","Linea",14,
16,"Diagnostico y control de plagas","Linea",14,
17," Gestion de la produccion vegetal, valor agregado de la cosecha, agronegocios, riego y construcciones agropecuarias","Linea",14,
18,"Epidemiologia, resistencia y manejo integrado de enfermedades en cultivos tropicales","Grupo",,1
19,"Manejo integrado de pestes","Linea",18,
20,"Diagnostico fitosanitario y bioinsumos - GIDIFIBI","Grupo",,1
21,"Desarrollar tecnicas de diagnostico y evaluacion de fitopatogenos, insectos plaga y aryenses en especies agricolas y forestales","Linea",20,
22,"Adaptar el uso de tecnologias de la geomatica en el diagnostico fitosanitario","Linea",20,
23,"Obtener bioinsumos a partir de microorganismos y principios activos de plantas para el control de pestes agricolas","Linea",20,
24,"Identificacion y produccion de predadores y parasitoides de importancia agricola","Linea",20,
25,"Caracterizar microorganismos para la formulacion de biofertilizantes","Linea",20,
26,"Desarrollar ensayos de eficacia de pesticidas en el control de fitopatogenos e insectos plaga","Linea",20,
27,"Ganaderia sostenible y Medio ambiente","Grupo",,5
28,"Ecologia de pasturas y forrajes en sistemas silvopastoriles","Linea",27,
29,"Aprovechamiento de residuos de la produccion animal","Linea",27,
30,"Nutricion y sanidad animal","Grupo",,5
31,"Nutricion, alimentacion y sanidad de animales domesticos, silvestres y acuaticos en ecosistemas sostenibles","Linea",30,
32,"Produccion, reproduccion y mejoramiento animal","Grupo",,5
33,"Produccion, reproduccion y mejoramiento de animales domesticos, silvestres y acuicolas en ecosistemas sostenibles","Linea",32,
34,"Ciencias Quimicas","Grupo",,8
35,"Quimica pura y aplicada","Linea",34,
36,"Ingenieria de alimentos","Grupo",,8
37,"Ingenieria de alimentos","Linea",36,
38,"Ciencia y tecnologia de alimentos","Grupo",,8
39,"Ciencia y tecnologia de alimentos","Linea",38,
40,"Manejo, conservacion y aprovechamiento sostenible de la biodiversidad, recursos naturales, bienes y servicios ecosistemicos","Grupo",,10
41,"Manejo, conservacion y aprovechamiento sostenible de la biodiversidad, recursos naturales, bienes y servicios ecosistemicos","Linea",40,
42,"Biodiversidad de plantas medicinales","Grupo",,10
43,"Biodiversidad de plantas medicinales","Linea",42,
44,"Ordenamiento del paisaje, gobernanza y adaptacion al cambio climatico","Grupo",,10
45,"Ordenamiento del paisaje, gobernanza y adaptacion al cambio climatico","Linea",44,
46,"Biotecnologia de Recursos de flora y fauna silvestre","Grupo",,10
47,"Biotecnologia de Recursos de flora y fauna silvestre","Linea",46,
48,"Gestion Ambiental","Grupo",,10
49,"Vulnerabilidad, mitigacion y adaptacion al cambio climatico","Linea",48,
50,"Gestion de la contaminacion e Impactos ambientales","Linea",48,
51,"Educacion ambiental","Linea",48,
52,"Conflictividad territorial y ambiental","Linea",48,
53,"Desarrollo sostenible y energias renovables","Linea",48,
54,"Gestion de riesgos: ambientales, laborales, climaticos y de desastres naturales","Linea",48,
55,"Valoracion economica del patrimonio natural y cultural","Linea",48,
56,"Ecoeficiencia, ecoturismo y actividades sostenibles","Linea",48,
57,"Ciencia y Tecnologia Ambiental","Grupo",,10
58,"Generacion y aplicacion de tecnologias ambientales y limpias","Linea",57,
59,"Biorremediacion y recuperacion de ambientes degradados","Linea",57,
60,"Bioproduccion: aditivos, combustibles, fertilizantes y otros","Linea",57,
