"type","type_name","name","date","research_id"
2,"Articulo cientifico","Modelo de Sucesion Ecologica en los Bosques Fragmentados de la Cordillera Carpish, Huanuco - Peru","5300-09-06",2
NULL,NULL,"Determinacion de las propiedades termofisicas del mucilago del Cacao (Theobroma cacao L) variedad CCN51 a diferentes temperaturas.","2021-07-01",5327
NULL,NULL,"Determinacion de las propiedades termofisicas del mucilago del Cacao (Theobroma cacao L) variedad CCN51 a diferentes temperaturas","2021-07-01",5370
NULL,NULL,"Propiedades Termogravimetricas y Electricas de los Suelos Aluviales del Alto Huallaga - Peru","2021-07-01",5376
NULL,NULL,"Indicadores para evaluar la Sustentabilidad Ambiental de las Concesiones Forestales en las Provincias Leoncio Prado y Puerto Inca, Huanuco, Peru","2021-07-01",5377
NULL,NULL,"Stock de Carbono Almacenado en Regeneracion Natural por rasgo funcional de estrato Arboreo del Bosque de Colina Baja de Tingo Maria-Peru","2021-06-01",5349
NULL,NULL,"El Capital Humano y el plan de retiro laboral en los Servidores Publicos en la Universidad Nacional Agraria de la Selva","2021-06-01",5280
NULL,NULL,"Diseño de aplicaciones Movil en la Agricultura: Estudio de Mapeo Sistematico","2021-06-01",5331
NULL,NULL,"Estabilidad termica, fenolica y antioxidante de la encapsulacion por liofilizacion de los aceites esenciales de la cascara de naranja; variedad valencia (Citrus sinensis)","2021-06-01",5369
NULL,NULL,"Estabilidad termica, fenolica y antioxidante de la encapsulacion por liofilizacion de los aceites esenciales de la cascara de naranja;variedad Valencia (Citrus sinensis)","2021-06-01",5328
1,"Tesis","Eficiencia de la Electrocoagulacion a nivel de Laboratorio para tratamiento del Agua Residual del Matadero Municipal de Tingo Maria","2021-05-14",5313
1,"Tesis","Caracteristicas Fisicas y Quimicas de un Suelo con Especies Forestales y su relacion con los Microorganismos","2021-05-13",5298
1,"Tesis","Microorganismos Patogenos del Aire presentes en las particulas Atmosfericas Sedimentables de las Areas Verdes de Tingo Maria (Abril–Junio 2018)","2021-05-13",5304
1,"Tesis","Identificacion y Seleccion de Arboles Promisorios de Cacao (Theobroma cacao L.) con enfoque,participativo en el Distrito de Uchiza","2021-05-12",5285
4,"Informe de experiencia","Cumplimiento del Sistema de Gestion de Seguridad, Ambiente y Salud  del Proyecto Exploratorio Lote 174 - Etapa Preoperacional en Ucayali","2021-05-12",5290
NULL,NULL,"Determinacion de la relacion entre las Propiedades Fisicoquimicos y la poblacion de Macroinvertebrados Acuaticos de la Cuenca Perez, Distrito Mariano Damaso Beraun – Las Palmas","2021-05-01",5356
NULL,NULL,"Calidad de planta de Pinus tecunumanii Eguiluz & J. P. Perry con Abonos Organicos y Micorrizas en vivero en el Caserio San Isidro, Huanuco","2021-05-01",5353
NULL,NULL,"Caracterizacion fitoquimica, fenoles totales, capacidad antioxidante y determinacion de metales pesados en infusiones herbales aromatizado con cascara de frutas","2021-04-21",5368
