"research_id","role","author_id","name","responsible_id"
1,"Miembro extraordinario",59,"Proyecto de Investigacion",1698
1,"Miembro ordinario",19,"Proyecto de Investigacion",1646
1,"Miembro extraordinario",20,"Proyecto de Investigacion",1650
2,"Miembro extraordinario",82,"Proyecto de Investigacion",1702
2,"Miembro extraordinario",191,"Proyecto de Investigacion",1818
2,"Miembro ordinario",76,"Proyecto de Investigacion",1700
2,"Miembro extraordinario",88,"Proyecto de Investigacion",1704
3,"Miembro ordinario",39,"Proyecto de Investigacion",11265
3,"Miembro extraordinario",350,"Proyecto de Investigacion",11266
4,"Miembro extraordinario",350,"Proyecto de Investigacion",11143
4,"Miembro ordinario",29,"Proyecto de Investigacion",11142
4,"Miembro extraordinario",34,"Proyecto de Investigacion",11144
5,"Miembro extraordinario",397,"Proyecto de Investigacion",1855
5,"Miembro ordinario",84,"Proyecto de Investigacion",1703
6,"Miembro extraordinario",346,"Proyecto de Investigacion",11262
6,"Miembro extraordinario",177,"Proyecto de Investigacion",11264
6,"Miembro extraordinario",18,"Proyecto de Investigacion",11263
6,"Miembro ordinario",15,"Proyecto de Investigacion",11261
7,"Miembro ordinario",121,"Proyecto de Investigacion",1742
7,"Miembro extraordinario",116,"Proyecto de Investigacion",13916
8,"Miembro extraordinario",117,"Proyecto de Investigacion",4812
8,"Miembro extraordinario",126,"Proyecto de Investigacion",4811
8,"Miembro ordinario",123,"Proyecto de Investigacion",4666
9,"Miembro ordinario",130,"Proyecto de Investigacion",1803
10,"Miembro ordinario",120,"Proyecto de Investigacion",1736
10,"Miembro extraordinario",129,"Proyecto de Investigacion",1782
10,"Miembro extraordinario",127,"Proyecto de Investigacion",1794
11,"Miembro extraordinario",127,"Proyecto de Investigacion",1783
11,"Miembro ordinario",120,"Proyecto de Investigacion",1737
11,"Miembro extraordinario",129,"Proyecto de Investigacion",1795
12,"Miembro extraordinario",332,"Proyecto de Investigacion",1764
12,"Miembro extraordinario",126,"Proyecto de Investigacion",11112
12,"Miembro ordinario",123,"Proyecto de Investigacion",1776
13,"Miembro extraordinario",358,"Proyecto de Investigacion",1849
13,"Miembro ordinario",128,"Proyecto de Investigacion",1788
14,"Miembro extraordinario",119,"Proyecto de Investigacion",1735
14,"Miembro ordinario",115,"Proyecto de Investigacion",1715
15,"Miembro extraordinario",122,"Proyecto de Investigacion",1805
15,"Miembro ordinario",108,"Proyecto de Investigacion",1753
15,"Miembro extraordinario",135,"Proyecto de Investigacion",1710
15,"Miembro extraordinario",184,"Proyecto de Investigacion",13899
16,"Miembro extraordinario",101,"Proyecto de Investigacion",1834
16,"Miembro ordinario",114,"Proyecto de Investigacion",1708
16,"Miembro extraordinario",324,"Proyecto de Investigacion",1709
16,"Miembro extraordinario",102,"Proyecto de Investigacion",1714
18,"Miembro extraordinario",115,"Proyecto de Investigacion",1716
18,"Miembro ordinario",129,"Proyecto de Investigacion",1796
19,"Miembro ordinario",116,"Proyecto de Investigacion",1723
19,"Miembro extraordinario",121,"Proyecto de Investigacion",1743
20,"Miembro extraordinario",127,"Proyecto de Investigacion",15727
20,"Miembro extraordinario",129,"Proyecto de Investigacion",1797
20,"Miembro ordinario",120,"Proyecto de Investigacion",1738
21,"Miembro ordinario",115,"Proyecto de Investigacion",1717
22,"Miembro extraordinario",121,"Proyecto de Investigacion",1744
22,"Miembro ordinario",116,"Proyecto de Investigacion",1724
23,"Miembro extraordinario",108,"Proyecto de Investigacion",1755
23,"Miembro ordinario",122,"Proyecto de Investigacion",1711
23,"Miembro extraordinario",334,"Proyecto de Investigacion",11147
24,"Miembro ordinario",332,"Proyecto de Investigacion",1837
24,"Miembro extraordinario",123,"Proyecto de Investigacion",1765
24,"Miembro extraordinario",126,"Proyecto de Investigacion",1777
25,"Miembro ordinario",116,"Proyecto de Investigacion",1725
25,"Miembro extraordinario",121,"Proyecto de Investigacion",1745
26,"Miembro ordinario",126,"Proyecto de Investigacion",1778
26,"Miembro ordinario",332,"Proyecto de Investigacion",1838
26,"Miembro ordinario",123,"Proyecto de Investigacion",1766
27,"Miembro extraordinario",129,"Proyecto de Investigacion",1798
27,"Miembro extraordinario",127,"Proyecto de Investigacion",1784
27,"Miembro ordinario",120,"Proyecto de Investigacion",1739
28,"Miembro extraordinario",151,"Proyecto de Investigacion",1809
28,"Miembro extraordinario",129,"Proyecto de Investigacion",15791
28,"Miembro ordinario",334,"Proyecto de Investigacion",1842
29,"Miembro extraordinario",116,"Proyecto de Investigacion",1726
29,"Miembro ordinario",121,"Proyecto de Investigacion",1746
30,"Miembro extraordinario",128,"Proyecto de Investigacion",1771
30,"Miembro extraordinario",118,"Proyecto de Investigacion",1789
30,"Miembro ordinario",284,"Proyecto de Investigacion",1733
31,"Miembro extraordinario",118,"Proyecto de Investigacion",1734
31,"Miembro ordinario",115,"Proyecto de Investigacion",1718
32,"Miembro ordinario",121,"Proyecto de Investigacion",1727
32,"Miembro extraordinario",116,"Proyecto de Investigacion",1747
33,"Miembro extraordinario",332,"Proyecto de Investigacion",1843
33,"Miembro extraordinario",122,"Proyecto de Investigacion",1839
33,"Miembro ordinario",334,"Proyecto de Investigacion",1756
34,"Miembro ordinario",129,"Proyecto de Investigacion",1785
34,"Miembro extraordinario",127,"Proyecto de Investigacion",1799
35,"Miembro ordinario",123,"Proyecto de Investigacion",1767
35,"Miembro extraordinario",126,"Proyecto de Investigacion",1779
35,"Miembro extraordinario",332,"Proyecto de Investigacion",1840
36,"Miembro ordinario",342,"Proyecto de Investigacion",1844
37,"Miembro extraordinario",116,"Proyecto de Investigacion",1728
37,"Miembro ordinario",121,"Proyecto de Investigacion",1748
38,"Miembro ordinario",115,"Proyecto de Investigacion",1719
38,"Miembro extraordinario",122,"Proyecto de Investigacion",1757
39,"Miembro extraordinario",120,"Proyecto de Investigacion",1740
39,"Miembro ordinario",129,"Proyecto de Investigacion",1800
39,"Miembro extraordinario",127,"Proyecto de Investigacion",1786
40,"Miembro ordinario",358,"Proyecto de Investigacion",1850
40,"Miembro extraordinario",123,"Proyecto de Investigacion",1768
41,"Miembro ordinario",358,"Proyecto de Investigacion",1851
42,"Miembro ordinario",121,"Proyecto de Investigacion",1749
43,"Miembro ordinario",121,"Proyecto de Investigacion",1750
