"research_id","status_id","date_at","history_note","instant_name","history_id"
1,2,"2013-10-30","Nuevo al 20/12/2013","Nuevo",1
1,3,"2014-06-20","Presento informe al 20/06/2014","En Ejecucion",2
1,3,"2014-12-18","Presento informe al 19/12/2014","En Ejecucion",3
1,3,"2015-03-20","Presento informe al 20/03/2015","En Ejecucion",4
1,4,"2015-06-19","Culminado al 19-06-2015 presento :  -Informe final -Articulo cientifico -CD","Culminado",5661
2,2,"2013-11-26","Nuevo al 20/12/2013","Nuevo",5
2,3,"2014-09-04","Presento informe al 19/09/2014","En Ejecucion",6
2,3,"2015-09-03","En Ejecucion al 03-09-2015 presento :  -Informe Trimestral","En Ejecucion",8096
2,4,"2016-04-11","Culminado al 11-04-2016 presento :  -Informe final -Articulo cientifico","Culminado",9150
2,3,"2016-09-15","En Ejecucion al 15-09-2016 presento :  -Informe Trimestral","En Ejecucion",8097
3,3,"2014-06-26","Presento informe al 20/06/2014","En Ejecucion",8
3,2,"2014-11-26","Nuevo al 20/12/2013","Nuevo",7
3,3,"2015-12-23","En Ejecucion al 23-12-2015 presento :  -Carta","En Ejecucion",5286
3,4,"2017-01-12","Culminado al 12-01-2017 presento :  -Informe final -Articulo cientifico -CD","Culminado",8504
4,2,"2013-11-26","Nuevo al 20/12/2013","Nuevo",9
4,3,"2014-06-10","Presento informe al 20/06/2014","En Ejecucion",10
4,4,"2015-05-18","Culminado al 18-05-2015 presento :  -Informe final -Articulo cientifico -CD","Culminado",8973
4,3,"2015-07-08","Presento informe al 19/06/2015","En Ejecucion",11
5,2,"2014-11-26","Nuevo al 20/12/2013","Nuevo",12
5,3,"2015-02-26","En Ejecucion al 26-02-2015 presento :  -Informe Trimestral -Carta","En Ejecucion",8098
5,3,"2016-09-12","En Ejecucion al 12-09-2016 presento :  -Informe Trimestral -Carta","En Ejecucion",8099
5,4,"2016-12-30","Culminado al 30-12-2016 presento :  -Informe final -Articulo cientifico -CD","Culminado",8728
