dre,ugel
DRE AMAZONAS,UGEL CHACHAPOYAS
DRE AMAZONAS,UGEL BAGUA
DRE AMAZONAS,UGEL BONGARA
DRE AMAZONAS,UGEL CONDORCANQUI
DRE AMAZONAS,UGEL LUYA
DRE AMAZONAS,UGEL RODRIGUEZ DE MENDOZA
DRE AMAZONAS,UGEL IBIR IMAZA
DRE AMAZONAS,UGEL UCTUBAMBA
DRE ANCASH,UGEL HUARAZ
DRE ANCASH,UGEL BOLOGNESI
DRE ANCASH,UGEL RECUAY
DRE ANCASH,UGEL CARHUAZ
DRE ANCASH,UGEL SANTA 
DRE ANCASH,UGEL HUAYLAS
DRE ANCASH,UGEL YUNGAY
DRE ANCASH,UGEL CORONGO
DRE ANCASH,UGEL HUARMEY
DRE ANCASH,UGEL CASMA
DRE ANCASH,UGEL OCROS
DRE ANCASH,UGEL AIJA
DRE ANCASH,UGEL POMABAMBA
DRE ANCASH,UGEL MARISCAL LUZURIAGA
DRE ANCASH,UGEL SIHUAS
DRE ANCASH,UGEL CARLOS FERMÍN FITZCARRALD
DRE ANCASH,UGEL ASUNCION
DRE ANCASH,UGEL HUARI
DRE ANCASH,UGEL ANTONIO RAIMONDI
DRE ANCASH,UGEL PALLASCA
DRE APURIMAC,UGEL ABANCAY
DRE APURIMAC,UGEL ANTABAMBA
DRE APURIMAC,UGEL AYMARAES
DRE APURIMAC,UGEL GRAU
DRE APURIMAC,UGEL ANDAHUAYLAS
DRE APURIMAC,UGEL CHINCHEROS
DRE APURIMAC,UGEL COTABAMBAS
DRE APURIMAC,UGEL HUANCARAMA
DRE AREQUIPA,UGEL AREQUIPA NORTE
DRE AREQUIPA,UGEL AREQUIPA SUR
DRE AREQUIPA,UGEL LA JOYA
DRE AREQUIPA,UGEL CASTILLA
DRE AREQUIPA,UGEL CAYLLOMA
DRE AREQUIPA,UGEL CAMANA
DRE AREQUIPA,UGEL ISLAY
DRE AREQUIPA,UGEL LA UNION
DRE AREQUIPA,UGEL CARAVELI
DRE AREQUIPA,UGEL CONDESUYOS
DRE AYACUCHO,UGEL HUAMANGA
DRE AYACUCHO,UGEL CANGALLO
DRE AYACUCHO,UGEL HUANTA
DRE AYACUCHO,UGEL LA MAR
DRE AYACUCHO,UGEL HUANCASANCOS
DRE AYACUCHO,UGEL LUCANAS
DRE AYACUCHO,UGEL PARINACOCHAS
DRE AYACUCHO,UGEL PAUCAR DE SARASARA
DRE AYACUCHO,UGEL SUCRE
DRE AYACUCHO,UGEL VICTOR FAJARDO
DRE AYACUCHO,UGEL VILCASHUAMÁN
DRE CAJAMARCA,UGEL CAJABAMBA
DRE CAJAMARCA,UGEL CAJAMARCA 
DRE CAJAMARCA,UGEL CELENDIN
DRE CAJAMARCA,UGEL CHOTA
DRE CAJAMARCA,UGEL CONTUMAZA
DRE CAJAMARCA,UGEL CUTERVO
DRE CAJAMARCA,UGEL HUALGAYOC
DRE CAJAMARCA,UGEL JAEN
DRE CAJAMARCA,UGEL SAN IGNACIO
DRE CAJAMARCA,UGEL SAN MARCOS
DRE CAJAMARCA,UGEL SAN MIGUEL
DRE CAJAMARCA,UGEL SAN PABLO
DRE CAJAMARCA,UGEL SANTA CRUZ
DRE CALLAO,UGEL  VENTANILLA
DRE CUSCO,UGEL CUSCO
DRE CUSCO,UGEL ACOMAYO
DRE CUSCO,UGEL ANTA
DRE CUSCO,UGEL CALCA
DRE CUSCO,UGEL CANAS
DRE CUSCO,UGEL CANCHIS
DRE CUSCO,UGEL CHUMBIVILCAS
DRE CUSCO,UGEL ESPINAR
DRE CUSCO,UGEL LA CONVENCIÓN
DRE CUSCO,UGEL PARURO
DRE CUSCO,UGEL PAUCARTAMBO
DRE CUSCO,UGEL PICHARI KIMBIRI VILLA VIRGEN
DRE CUSCO,UGEL QUISPICANCHI
DRE CUSCO,UGEL URUBAMBA
DRE HUANCAVELICA,UGEL HUANCAVELICA
DRE HUANCAVELICA,UGEL ACOBAMBA
DRE HUANCAVELICA,UGEL ANGARAES
DRE HUANCAVELICA,UGEL TAYACAJA
DRE HUANCAVELICA,UGEL CHURCAMPA
DRE HUANCAVELICA,UGEL CASTROVIRREYNA
DRE HUANCAVELICA,UGEL HUAYTARA
DRE HUANCAVELICA,UGEL SURCUBAMBA
DRE HUANUCO,UGEL HUANUCO
DRE HUANUCO,UGEL LEONCIO PRADO
DRE HUANUCO,UGEL HUAMALIES
DRE HUANUCO,UGEL AMBO
DRE HUANUCO,UGEL DOS DE MAYO
DRE HUANUCO,UGEL PACHITEA
DRE HUANUCO,UGEL YAROWILCA
DRE HUANUCO,UGEL LAURICOCHA
DRE HUANUCO,UGEL PUERTO INCA
DRE HUANUCO,UGEL MARAÑON
DRE HUANUCO,UGEL HUACAYBAMBA
DRE ICA,UGEL ICA
DRE ICA,UGEL CHINCHA
DRE ICA,UGEL PISCO
DRE ICA,UGEL NASCA
DRE ICA,UGEL PALPA
DRE JUNÍN,UGEL HUANCAYO
DRE JUNÍN,UGEL CHANCHAMAYO
DRE JUNÍN,UGEL SATIPO
DRE JUNÍN,UGEL JAUJA
DRE JUNÍN,UGEL TARMA
DRE JUNÍN,UGEL CHUPACA
DRE JUNÍN,UGEL CONCEPCIÓN
DRE JUNÍN,UGEL YAULI
DRE JUNÍN,UGEL JUNÍN
